txid,wallet,role,amount,timestamp,fee,script_type
tx_34b154d895d4452a,bc1qple559w2csjkarqrdknu,output,0.22231598,2026-04-07T19:13:08.073240,0.00047326,P2PKH
tx_eaa8280feff8471c,bc1qple559w2csjkarqrdknu,input,0.06216895,2026-04-10T13:13:08.073240,4.734e-05,P2PKH
tx_0910a78d0084460c,bc1q3qa9z2khpsw02u8p9y6w,output,0.07556494,2026-05-28T18:13:08.073967,0.00013572,P2WPKH
tx_d02c9228fde84dc3,bc1q3qa9z2khpsw02u8p9y6w,input,0.05381562,2026-05-29T16:13:08.073967,4.324e-05,P2WPKH
tx_9e0f1b11c82642e9,bc1q3qa9z2khpsw02u8p9y6w,output,0.01916812,2026-05-30T12:13:08.073967,2.949e-05,P2TR
tx_9dd67d1cb83c4b94,bc1q3qa9z2khpsw02u8p9y6w,output,0.23117828,2026-06-02T22:13:08.073967,0.00057217,P2PKH
tx_abf4e09fc1154bba,bc1q3qa9z2khpsw02u8p9y6w,output,0.31938135,2026-06-04T18:13:08.073967,0.00054641,P2WPKH
tx_e73edc4def2c4d11,bc1q3qa9z2khpsw02u8p9y6w,input,0.09954423,2026-06-06T00:13:08.073967,0.00024277,P2PKH
tx_4cef27f0923b4b50,bc1q3qa9z2khpsw02u8p9y6w,output,0.08126935,2026-06-09T17:13:08.073967,0.00014269,P2TR
tx_1a25375f9968418b,bc1qk9w8zw5rdegjcvhveuun,output,0.01067928,2026-05-14T23:13:08.074314,1.438e-05,P2WPKH
tx_b35921517b4c4336,bc1qk9w8zw5rdegjcvhveuun,input,0.20138916,2026-05-18T13:13:08.074314,0.00015026,P2PKH
tx_241bb60433914974,bc1qk9w8zw5rdegjcvhveuun,output,0.04920324,2026-05-19T02:13:08.074314,5.464e-05,P2WPKH
tx_71ec0b6c3b2741d0,bc1qk9w8zw5rdegjcvhveuun,input,0.11356468,2026-05-22T14:13:08.074314,0.00031595,P2PKH
tx_9a298989af694ec6,bc1qk9w8zw5rdegjcvhveuun,output,0.0232553,2026-05-22T21:13:08.074314,3.172e-05,P2WPKH
tx_12467d3c8238451c,bc1qk9w8zw5rdegjcvhveuun,output,0.05607946,2026-05-24T04:13:08.074314,6.952e-05,P2PKH
tx_e86cc20bc77940ed,bc1qk9w8zw5rdegjcvhveuun,input,0.1715845,2026-05-28T01:13:08.074314,0.00042979,P2WPKH
tx_f3aae60669274cef,bc1qk9w8zw5rdegjcvhveuun,input,0.04062296,2026-05-31T15:13:08.074314,7.917e-05,P2PKH
tx_35636dc4579c4644,bc1qk9w8zw5rdegjcvhveuun,output,0.17104171,2026-06-01T13:13:08.074314,0.00044063,P2TR
tx_3b88e7c9374f4149,bc1qk9w8zw5rdegjcvhveuun,output,1.20723598,2026-06-04T06:13:08.074314,0.00356117,P2PKH
tx_27780b14e2474a90,bc1qk9w8zw5rdegjcvhveuun,output,0.24313332,2026-06-06T22:13:08.074314,0.00047688,P2PKH
tx_b38aaf2bd3444292,bc1qk9w8zw5rdegjcvhveuun,output,0.24607924,2026-06-10T03:13:08.074314,0.00016193,P2TR
tx_09f6dc00e9054963,bc1qf0xakj8c42qgd6wex9jy,output,0.06144517,2026-08-29T21:13:08.074772,0.00014488,P2WPKH
tx_c1fb98218cbb4de1,bc1qf0xakj8c42qgd6wex9jy,input,0.28791019,2026-09-01T17:13:08.074772,0.0006408,P2PKH
tx_9c1215b682394d41,bc1qf0xakj8c42qgd6wex9jy,output,0.0235334,2026-09-03T22:13:08.074772,6.873e-05,P2PKH
tx_e380af7eeb4d49bf,bc1qpxktswelx8qnfq3920aa,input,0.17261615,2026-09-05T11:13:08.074772,0.00044441,P2WPKH
tx_db7cf4e8cce247ef,bc1qpxktswelx8qnfq3920aa,input,0.16372396,2026-09-08T21:13:08.074772,0.00043651,P2PKH
tx_b79cdc8cd7094a9b,bc1qpxktswelx8qnfq3920aa,input,0.02177552,2026-09-10T12:13:08.074772,1.707e-05,P2PKH
tx_fba2a4e965b6410e,bc1qpxktswelx8qnfq3920aa,input,0.13112683,2026-09-11T22:13:08.074772,0.00027646,P2PKH
tx_314f6fe738684b68,bc1qf0xakj8c42qgd6wex9jy,output,0.10420633,2026-09-14T18:13:08.074772,0.00012375,P2PKH
tx_36bb68cfde9945cd,bc1qpxktswelx8qnfq3920aa,input,0.16224159,2026-09-17T07:13:08.074772,0.00034667,P2PKH
tx_5f93ffd1ff3e49a5,bc1qf0xakj8c42qgd6wex9jy,output,0.16326094,2026-09-19T16:13:08.074772,0.00020919,P2PKH
tx_b9496add22dd4b78,bc1q2wtfdujawa5pv632qg0s,input,0.1231945,2026-08-20T03:13:08.075141,0.00016312,P2PKH
tx_4f9628cb5f5f46f6,bc1q2wtfdujawa5pv632qg0s,output,0.03981262,2026-08-23T13:13:08.075141,4.108e-05,P2PKH
tx_cee6dd4288684d51,bc1q2wtfdujawa5pv632qg0s,output,0.15792526,2026-08-25T06:13:08.075141,8.933e-05,P2PKH
tx_e81237af44a2411b,bc1q2wtfdujawa5pv632qg0s,input,0.10309022,2026-08-26T11:13:08.075141,8.811e-05,P2PKH
tx_f4dde05a91d942c1,bc1qwrm9z88pphkmnf4n6vys,input,0.20899597,2026-06-15T08:13:08.075305,0.00049868,P2WPKH
tx_6317dfc6399d419f,bc1qwrm9z88pphkmnf4n6vys,output,0.01220948,2026-06-17T22:13:08.075305,9.58e-06,P2PKH
tx_8cca226af5ec4241,bc1qwrm9z88pphkmnf4n6vys,output,0.0412122,2026-06-20T06:13:08.075305,4.693e-05,P2PKH
tx_d44e6c4906f14cd5,bc1qwrm9z88pphkmnf4n6vys,input,0.08235146,2026-06-23T08:13:08.075305,0.00020716,P2PKH
tx_a15cd2a867b3400d,bc1qwrm9z88pphkmnf4n6vys,output,0.11831424,2026-06-23T23:13:08.075305,0.00026902,P2PKH
tx_41f778f0c22c4cf9,bc1qwrm9z88pphkmnf4n6vys,output,0.02270241,2026-06-27T12:13:08.075305,4.109e-05,P2TR
tx_54cf3ba0d8dc4dc8,bc1qwrm9z88pphkmnf4n6vys,output,0.08410904,2026-06-28T15:13:08.075305,0.00014928,P2PKH
tx_4254ee0270384e3b,bc1qwrm9z88pphkmnf4n6vys,input,0.03712597,2026-06-30T05:13:08.075305,8.902e-05,P2PKH
tx_3f46d337f8f34670,bc1qwrm9z88pphkmnf4n6vys,output,1.93741189,2026-07-03T13:13:08.075305,0.00408306,P2TR
tx_2922a21f393a451b,bc1qwrm9z88pphkmnf4n6vys,output,0.30974622,2026-07-06T07:13:08.075305,0.00061285,P2WPKH
tx_e18ef5bd150f474d,bc1qwrm9z88pphkmnf4n6vys,output,0.54871858,2026-07-08T12:13:08.075305,0.00096995,P2WPKH
tx_c760ee2877d443ba,bc1qvwpdtuceqjzl5sgsw67c,output,0.1122616,2026-04-16T13:13:08.075754,0.00025473,P2WPKH
tx_edb171bb9c6949ac,bc1qvwpdtuceqjzl5sgsw67c,output,0.06179957,2026-04-18T07:13:08.075754,0.00012327,P2PKH
tx_9b8d71556ea745de,bc1qm3cukeegs93xr4am6ltm,output,0.00595558,2026-03-24T19:13:08.075858,4.24e-06,P2WPKH
tx_aba45694b7b14433,bc1qm3cukeegs93xr4am6ltm,output,0.01954543,2026-03-27T07:13:08.075858,5.625e-05,P2TR
tx_e4a1edc3feea415f,bc1qm3cukeegs93xr4am6ltm,output,0.01948776,2026-03-27T22:13:08.075858,1.613e-05,P2PKH
tx_640f25405dd94632,bc1qm3cukeegs93xr4am6ltm,input,0.90777905,2026-03-30T02:13:08.075858,0.00098495,P2PKH
tx_339beb4cbfe84997,bc1qm3cukeegs93xr4am6ltm,output,0.07354665,2026-04-02T09:13:08.075858,0.00010699,P2TR
tx_1ee7d639788f4eb2,bc1qm3cukeegs93xr4am6ltm,input,0.46251972,2026-04-02T21:13:08.075858,0.00034988,P2PKH
tx_84264a300d854cc7,bc1qm3cukeegs93xr4am6ltm,output,0.06140415,2026-04-05T20:13:08.075858,8.811e-05,P2TR
tx_01557be8bc60477f,bc1q4jymrqvdvzykpf0fshlq,input,0.22395932,2026-08-15T16:13:08.076153,0.00045651,P2PKH
tx_5599a2e5efae439f,bc1q4jymrqvdvzykpf0fshlq,output,0.05340326,2026-08-17T10:13:08.076153,8.275e-05,P2PKH
tx_321ba5d688034ea5,bc1q4jymrqvdvzykpf0fshlq,output,0.15486569,2026-08-20T17:13:08.076153,7.804e-05,P2PKH
tx_34eb148dae27417f,bc1q4jymrqvdvzykpf0fshlq,input,0.63589621,2026-08-22T21:13:08.076153,0.00156814,P2PKH
tx_fe69b9cb80c542c6,bc1q4jymrqvdvzykpf0fshlq,input,0.05987437,2026-08-24T11:13:08.076153,6.603e-05,P2WPKH
tx_65dc799578d44718,bc1q3vugz4l0ku877pss8fch,output,0.17949414,2026-08-27T14:13:08.076153,0.00043938,P2TR
tx_abb701d5f5284018,bc1qflk445rj5d2y7mqdhgve,output,0.51733976,2026-05-13T09:13:08.076412,0.00153795,P2PKH
tx_2d773003dc74401a,bc1qflk445rj5d2y7mqdhgve,output,0.00801317,2026-05-13T21:13:08.076412,1.276e-05,P2WPKH
tx_dbf5d1952e73498a,bc1qflk445rj5d2y7mqdhgve,output,0.50512452,2026-05-16T18:13:08.076412,0.00126426,P2PKH
tx_9d7f9dbfb45144e7,bc1qflk445rj5d2y7mqdhgve,output,0.13234818,2026-05-17T10:13:08.076412,0.00026556,P2PKH
tx_c82e4aac2ce1438b,bc1qflk445rj5d2y7mqdhgve,input,0.12804483,2026-05-19T13:13:08.076412,0.00032046,P2TR
tx_68e3e95f64e54a49,bc1qpza9s8f3jgm3prmtqsdy,input,0.35747499,2026-07-12T18:13:08.076648,0.0008607,P2WPKH
tx_c777fb7b5a8f4e4e,bc1qvu47tvhlj70rpg6vvajn,input,0.21620774,2026-07-13T14:13:08.076648,0.00031728,P2PKH
tx_f4c66f2a45e54f00,bc1qpza9s8f3jgm3prmtqsdy,input,0.04018933,2026-07-17T12:13:08.076648,2.753e-05,P2TR
tx_613aa43874784a79,bc1qvu47tvhlj70rpg6vvajn,input,0.09489729,2026-07-21T12:13:08.076648,0.00011861,P2WPKH
tx_7981e21108884c88,bc1ql4nv8sssgu9mxva4zpfs,input,0.09790279,2026-08-07T07:13:08.076838,0.00024565,P2WPKH
tx_b0ab97aee8e6428e,bc1ql4nv8sssgu9mxva4zpfs,output,1.89001676,2026-08-10T02:13:08.076838,0.00129348,P2WPKH
tx_0fdabdb6c7414640,bc1ql4nv8sssgu9mxva4zpfs,input,0.15457644,2026-08-13T06:13:08.076838,0.00027162,P2WPKH
tx_9a0950f062ef49ee,bc1ql4nv8sssgu9mxva4zpfs,input,0.02010415,2026-08-15T05:13:08.076838,3.774e-05,P2WPKH
tx_29bf1c70bc4f4b8a,bc1ql4nv8sssgu9mxva4zpfs,output,0.01353464,2026-08-18T13:13:08.076838,3.729e-05,P2WPKH
tx_9ddd776ef0614d3f,bc1ql4nv8sssgu9mxva4zpfs,input,0.31193802,2026-08-22T05:13:08.076838,0.00048084,P2PKH
tx_27a4d655970441ba,bc1ql4nv8sssgu9mxva4zpfs,output,0.05234833,2026-08-26T02:13:08.076838,3.402e-05,P2PKH
tx_3dedf0d1859a42cb,bc1ql4nv8sssgu9mxva4zpfs,output,0.04469084,2026-08-28T00:13:08.076838,5.8e-05,P2PKH
tx_524ae08a22b3411f,bc1ql4nv8sssgu9mxva4zpfs,input,0.29772292,2026-08-29T19:13:08.076838,0.0008654,P2WPKH
tx_3d62ea9af1384289,bc1qetjjwcfcvar5j2l0dttv,output,0.05966825,2026-05-05T06:13:08.077206,0.00010366,P2PKH
tx_d0e0fe37bad246f2,bc1qetjjwcfcvar5j2l0dttv,input,0.19333574,2026-05-06T21:13:08.077206,0.00029028,P2PKH
tx_eeb5d68d393a43f2,bc1qetjjwcfcvar5j2l0dttv,input,0.48554801,2026-05-10T01:13:08.077206,0.0009845,P2TR
tx_3cdc3019b4084a68,bc1qd9889y82fdkunahpzas7,input,0.30175038,2026-06-06T21:13:08.077362,0.00026323,P2PKH
tx_f5113374df584c47,bc1qd9889y82fdkunahpzas7,output,0.08464531,2026-06-08T17:13:08.077362,0.00014598,P2PKH
tx_ee0c6440a2534a32,bc1qs5dntlvj9ds3sqvq9zsj,output,0.24521371,2026-05-27T06:13:08.077469,0.00022714,P2PKH
tx_ce838ac892ac4c7b,bc1qs5dntlvj9ds3sqvq9zsj,output,0.02628309,2026-05-31T05:13:08.077469,4.066e-05,P2WPKH
tx_2d6f8833fdf8427a,bc1qs5dntlvj9ds3sqvq9zsj,output,0.07642461,2026-06-03T05:13:08.077469,0.000221,P2TR
tx_c849ecc9d9dd45b0,bc1qs5dntlvj9ds3sqvq9zsj,output,0.04291514,2026-06-04T11:13:08.077469,0.00012247,P2WPKH
tx_f28db1e791a341b8,bc1q577ftj69udxq0e2sz3vs,output,0.02947408,2026-06-06T13:13:08.077469,5.476e-05,P2WPKH
tx_5758943ae53e4c39,bc1q577ftj69udxq0e2sz3vs,output,0.15689161,2026-06-07T05:13:08.077469,0.00040319,P2TR
tx_341e508b52164af1,bc1qs5dntlvj9ds3sqvq9zsj,input,0.01647664,2026-06-10T14:13:08.077469,3.011e-05,P2PKH
tx_2d5fce191086477e,bc1qs5dntlvj9ds3sqvq9zsj,output,0.01079478,2026-06-11T13:13:08.077469,2.916e-05,P2PKH
tx_3c10f3fff8aa4f4b,bc1qs5dntlvj9ds3sqvq9zsj,input,0.12348392,2026-06-12T02:13:08.077469,0.00028978,P2TR
tx_163cb40fef624d6a,bc1q577ftj69udxq0e2sz3vs,output,0.17008466,2026-06-12T12:13:08.077469,0.00040353,P2TR
tx_e99d35078e3c4802,bc1q577ftj69udxq0e2sz3vs,input,0.0631649,2026-06-14T12:13:08.077469,0.00011438,P2TR
tx_aa275459474f47ea,bc1qs5dntlvj9ds3sqvq9zsj,input,0.31751571,2026-06-16T12:13:08.077469,0.00072917,P2WPKH
tx_805b77aac3c24277,bc1qtp3knsg9uttxrxuftdw9,input,0.03857714,2026-03-31T17:13:08.077965,5.05e-05,P2PKH
tx_39d888edc51d4102,bc1qqg479luvzw86c9rr88ny,output,0.12214358,2026-04-02T17:13:08.077965,0.00014094,P2WPKH
tx_a3a8c1513c1149ae,bc1qqg479luvzw86c9rr88ny,output,0.24275079,2026-04-05T02:13:08.077965,0.00069223,P2WPKH
tx_cfb6e5f10b444b25,bc1qqg479luvzw86c9rr88ny,input,0.05589219,2026-04-08T13:13:08.077965,9.374e-05,P2WPKH
tx_adc56bc1e3e64f7e,bc1qtp3knsg9uttxrxuftdw9,output,0.02185498,2026-04-10T17:13:08.077965,1.992e-05,P2PKH
tx_877d24168d4546b5,bc1qtp3knsg9uttxrxuftdw9,input,0.06741081,2026-04-13T08:13:08.077965,0.00011069,P2WPKH
tx_682f0372249f4a07,bc1qtp3knsg9uttxrxuftdw9,input,0.09718508,2026-04-13T14:13:08.077965,0.0001323,P2WPKH
tx_b1f2791593c2404c,bc1qtp3knsg9uttxrxuftdw9,output,0.87333289,2026-04-16T00:13:08.077965,0.00257269,P2PKH
tx_630296e124434332,bc1q3smqtraqthqzekcyyzeg,input,0.15008722,2026-03-19T06:13:08.078311,7.635e-05,P2TR
tx_54ad8ef75af94524,bc1q3smqtraqthqzekcyyzeg,input,0.05301288,2026-03-20T19:13:08.078311,0.00015074,P2PKH
tx_124c183223f54054,bc1q3smqtraqthqzekcyyzeg,input,0.11641073,2026-03-21T09:13:08.078311,0.00025378,P2PKH
tx_2efbfbcfa99842c1,bc1q3smqtraqthqzekcyyzeg,output,0.11893548,2026-03-22T18:13:08.078311,0.00028917,P2PKH
tx_620d776f946b4a33,bc1q3smqtraqthqzekcyyzeg,output,0.12909814,2026-03-23T07:13:08.078311,0.00022451,P2TR
tx_92b332b4fb2240d4,bc1q3smqtraqthqzekcyyzeg,input,0.04954998,2026-03-25T17:13:08.078311,9.141e-05,P2WPKH
tx_937c883925af4ed0,bc1q3smqtraqthqzekcyyzeg,input,0.03035223,2026-03-28T22:13:08.078311,3.061e-05,P2TR
tx_e69262a7970e49ef,bc1q3smqtraqthqzekcyyzeg,input,0.01905063,2026-03-30T04:13:08.078311,3.824e-05,P2PKH
tx_46c852af9ddd4717,bc1q3smqtraqthqzekcyyzeg,input,0.07751428,2026-04-01T04:13:08.078311,0.00015588,P2PKH
tx_801b5565a2ea402b,bc1q3smqtraqthqzekcyyzeg,output,0.04433904,2026-04-04T06:13:08.078311,0.00012003,P2PKH
tx_cae666ca4d194e91,bc1q8v9cekn8wpmxlj996duz,output,0.10686807,2026-06-05T06:13:08.078724,0.0002458,P2PKH
tx_d51c27c501ef4932,bc1q8v9cekn8wpmxlj996duz,output,0.51895066,2026-06-06T19:13:08.078724,0.00069742,P2TR
tx_e658feef9b9b495e,bc1qtdamevecy08law7g4e4u,input,0.01600984,2026-06-08T22:13:08.078724,1.537e-05,P2WPKH
tx_4ef80e0a44604bfa,bc1qtdamevecy08law7g4e4u,input,0.20546457,2026-06-11T08:13:08.078724,0.00046598,P2PKH
tx_0c3df9f02b774282,bc1qezzx0f5szr27dxythzpd,input,0.52118538,2026-03-24T02:13:08.078902,0.00144599,P2TR
tx_886d433c784442b5,bc1qezzx0f5szr27dxythzpd,output,0.19902461,2026-03-27T03:13:08.078902,0.00029699,P2TR
tx_65e8d7909ed147ca,bc1qqtemtyjez6j3pf275uls,input,0.02131955,2026-03-27T19:13:08.078902,4.012e-05,P2WPKH
tx_99f6618fafa14419,bc1qezzx0f5szr27dxythzpd,input,0.21320189,2026-03-30T08:13:08.078902,0.00015743,P2PKH
tx_62316ab8f2504e54,bc1qezzx0f5szr27dxythzpd,output,0.53971566,2026-03-30T23:13:08.078902,0.00031425,P2PKH
tx_4bde07c6b57c4093,bc1qqtemtyjez6j3pf275uls,output,0.11123238,2026-04-01T19:13:08.078902,0.00029183,P2PKH
tx_b160b3ef57ea440d,bc1qqtemtyjez6j3pf275uls,output,0.02791446,2026-04-03T21:13:08.078902,1.926e-05,P2TR
tx_430abe74a8a9407f,bc1qqtemtyjez6j3pf275uls,input,0.0529705,2026-04-06T17:13:08.078902,0.00011398,P2WPKH
tx_0a7975ecc3834e38,bc1qezzx0f5szr27dxythzpd,output,0.26989944,2026-04-07T18:13:08.078902,0.00063403,P2PKH
tx_ae64690f51214ba4,bc1qqtemtyjez6j3pf275uls,output,0.03235477,2026-04-09T10:13:08.078902,5.248e-05,P2PKH
tx_62279ad65b4d4ed7,bc1q6vgjnr0ftm9gy47ydvuj,input,0.09811573,2026-06-16T14:13:08.079311,0.00014245,P2PKH
tx_93171fdbc6514854,bc1qd24stdttczvtyle8hlp6,output,0.05991004,2026-06-19T03:13:08.079311,4.148e-05,P2TR
